Full Name,Weight,Matchup,Outcome,Method,Round,Time,Method Summary,Match Summary,Predicted Match Summary
Dong Hyun Kim,170 lbs.,Joshua Burkman,WIN,SUB,3.0,2:13,Submission,Dong Hyun Kim Submission Win,Dong Hyun Kim Decision Win
Dong Hyun Ma,155 lbs.,Dominique Steele,LOSS,KO/TKO,3.0,0:27,KO,Dominique Steele KO Win,Dong Hyun Ma Decision Win
Dong Sik Yoon,185 lbs.,Kazushi Sakuraba,LOSS,KO/TKO,1.0,0:38,KO,Kazushi Sakuraba KO Win,Kazushi Sakuraba Submission Win
Dongi Yang,185 lbs.,Court McGee,LOSS,U-DEC,3.0,5:00,Decision,Court McGee Decision Win,Court McGee Decision Win
Dooho Choi,145 lbs.,Cub Swanson,LOSS,U-DEC ,3.0,5:00,Decision,Cub Swanson Decision Win,Dooho Choi KO Win
Doug Marshall,205 lbs.,Justin McElfresh,WIN,KO/TKO ,1.0,2:16,KO,Doug Marshall KO Win,Doug Marshall KO Win
Douglas Silva de Andrade,135 lbs.,Gaetano Pirrello,WIN,KO/TKO ,1.0,2:04,KO,Douglas Silva de Andrade KO Win,Douglas Silva de Andrade KO Win
Drakkar Klose,155 lbs.,Devin Powell,WIN,U-DEC,3.0,5:00,Decision,Drakkar Klose Decision Win,Drakkar Klose Decision Win
Drew Dober,155 lbs.,Brad Riddell,LOSS,U-DEC ,3.0,5:00,Decision,Brad Riddell Decision Win,Drew Dober KO Win
Drew Fickett,155 lbs.,Nick Diaz,LOSS,KO/TKO,1.0,4:40,KO,Nick Diaz KO Win,Drew Fickett Submission Win
Drew McFedries,185 lbs.,Alessio Sakara,WIN,KO/TKO,1.0,4:07,KO,Drew McFedries KO Win,Drew McFedries KO Win
Dricus Du Plessis,185 lbs.,Brad Tavares,WIN,U-DEC,3.0,5:00,Decision,Dricus Du Plessis Decision Win,Dricus Du Plessis KO Win
Duane Ludwig,170 lbs.,Amir Sadollah,WIN,U-DEC,3.0,5:00,Decision,Duane Ludwig Decision Win,Duane Ludwig Decision Win
Dusko Todorovic,185 lbs.,Teddy Ash,WIN,U-DEC,3.0,5:00,Decision,Dusko Todorovic Decision Win,Dusko Todorovic Decision Win
Dustin Hazelett,170 lbs.,Paul Daley,LOSS,KO/TKO,1.0,2:24,KO,Paul Daley KO Win,Paul Daley KO Win
Dustin Jacoby,205 lbs.,Da Woon Jung,WIN,KO/TKO ,1.0,3:13,KO,Dustin Jacoby KO Win,Dustin Jacoby Decision Win
Dustin Kimura,135 lbs.,Jon Delos Reyes,WIN,SUB,1.0,2:13,Submission,Dustin Kimura Submission Win,Dustin Kimura Submission Win
Dustin Ortiz,125 lbs.,Hector Sandoval,WIN,KO/TKO ,1.0,0:15,KO,Dustin Ortiz KO Win,Hector Sandoval Decision Win
